Output File (SITE_ID_ prefix added automatically),Subfolder,Dataset / Cohort Scope,Script Section,Contents,Role at Coordinating Center,Interpretation
SETUP / DIAGNOSTICS | ABTRISE_00_setup.R,,,,,,
cohort_summary.csv,diagnostics/,df_pp + df_hosp post-exclusion,Diagnostic,"Raw and analytic row counts, exclusion counts, package versions, site flags",Verify cohort construction and site readiness,"File 1 and File 2 counts should agree after zero-vent-day exclusion; large drops at complete-case indicate data quality problems."
missingness_analytic.csv,diagnostics/,df_pp + df_hosp post-derivation,Diagnostic,Per-variable missingness on derived analytic variables with expected_missing flag,Distinguish structural NAs from data-quality NAs,"Day 1 prior-day NAs are expected; nonstructural missingness above threshold triggers sensitivity planning."
exclusion_waterfall.csv,diagnostics/,Raw to analytic cohorts,Diagnostic,"N at each exclusion step for both long and wide files",CONSORT/STROBE-style flow support,"Each step should reduce n minimally; large complete-case drops indicate covariate missingness."
TABLE OUTPUTS | ABTRISE_00_setup.R,,,,,,
table1_cohort_characteristics.csv,tables/,df_pp + df_hosp,Table - general,"Patient and hospitalization characteristics overall and by SAT/SBT delivery group",Reconstruct pooled Table 1,"Imbalance by delivery group reveals confounding patterns expected to be adjusted in models."
delivery_rates_by_hospital.csv,tables/,Eligible ventilator days,Table - general,"SAT and SBT delivery rates by hospital_id, including primary and sensitivity definitions",Primary input for benchmarking,"Primary rates should be stable across hospitals; extreme hospitals are audited for denominator differences."
MODEL OUTPUTS | ABTRISE_345_outcomes.R,,,,,,
A3_dt_primary_coefs.csv,models/a3/,df_dt complete-case person-period file,Analysis 3.1 - Primary: Discrete-Time Logistic Regression,"OR, 95% CI, SE, z, p; SAT and SBT exposures highlighted; convergence and hospital count",Pool by inverse-variance weighting,"OR > 1 for SAT and SBT means faster extubation; disagreement with survival models requires investigation."
A4_part1_alive28d_coefs.csv,models/a4/,df_a4 hospitalization-level complete-case,Analysis 4.1 - Part 1: Alive at 28 days,"OR, 95% CI, SE, z, p; SAT_prop and SBT_prop highlighted; random-effect variance",Headline for Analysis 4 part 1,"OR > 1 indicates higher survival at 28 days among patients with higher SAT/SBT delivery."
FIGURE DATA OUTPUTS | ABTRISE_345_outcomes.R,,,,,,
A3_fig_cif_curves.csv,figures/a3/,df_fg hospitalization-level,Analysis 3.3 - Fine-Gray,"CIF time points, estimates, and SE for extubation and death by delivery group",Build pooled CIF curves,"Early curve separation supports faster liberation; crossing curves suggest time-varying effects."
A4_fig_vfd_distribution.csv,figures/a4/,df_a4 hospitalization-level,Analysis 4.2 - Two-part model,"1st-99th percentile VFD_28 values by delivery group",Build pooled VFD distribution figure,"A shift toward higher VFDs in the high-delivery group is the expected visual pattern."
